Dialogue,Hate Speech
"Person1: So, how many sexual assaults would there be if Muslims were burned in ovens?
Person2: Probably a lot less. What's your point?",1
"Person1: Probably a lot less. What's your point?
Person2: Great, now lets have a talk with Africa.",1
"Person1: Even though the woman was lying about the whole thing....LOL
Person2: You mean all 50?",0
"Person1: How does one say ""NO"" in Arabic ?
Person2: No idea, but an M16A4 will translate any language into Arabic.",1
"Person1: How does one say ""NO"" in Arabic ?
Person2: GLOCK",1
"Person1: How does one say ""NO"" in Arabic ?
Person2: Women aren't allowed to say ""NO"" in arab countries.",1
"Person1: How does one say ""NO"" in Arabic ?
Person2: 7.62 x 39 mm",1
"Person1: How does one say ""NO"" in Arabic ?
Person2: I think it sounds the same as an M4 bolt chambering a round.",1
"Person1: That's it pass more laws, you know cause paper and ink prevents crime.
Person2: Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing.",0
"Person1: no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels! German citizens should kick all politicians and refugee invaders OUT!.
Person2: German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.",1
"Person1: German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.
Person2: is she related to BroBama ?",0
"Person1: when no doesn't work...it is advisable to have some way to protect yourself
Person2: How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !",1
"Person1: How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !
Person2: don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb",1
"Person1: when no doesn't work...it is advisable to have some way to protect yourself
Person2: A really sharp knife and it will only happen once ...............",1
"Person1: Merkels legacy. soon to come to your city.
Person2: We're armed, Rufus!",1
"Person1: Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
Person2: STUPID Politicians seeking relevancy to the stupid sheeple!",0
"Person1: Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
Person2: Learn to read. Previous law required a victim to put up a physical struggle before the rapist could be prosecuted.. The new law only requires her to say ""no"".",0
"Person1: Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing.
Person2: So if they are alone who has to prove it was said?",0
"Person1: Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
Person2: Government is the impossibility of reason........... Platoon",0
"Person1: Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam.
Person2: If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech.",1
"Person1: If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.
Person2: It's a shame that you have no idea what you are talking about.",0
"Person1: Why are liberals always against deporting foreign criminals? They must support their crimes, I guess.
Person2: Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all.",0
"Person1: Why are liberals always against deporting foreign criminals? They must support their crimes, I guess.
Person2: Liberals are always pandering for votes from criminals.",0
"Person1: neuter rapists
Person2: Yes please.",0
"Person1: neuter rapists
Person2: That includes Bill Clinton and Bill Cosby!",0
"Person1: Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it.
Person2: I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.",0
"Person1: How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !
Person2: No say? They elected Merkel, in large numbers.",0
"Person1: Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it.
Person2: No the people didn't the LOUSY LEADER DID, just like ODUMBO IS DOING HERE!",0
"Person1: There is no law that will civilize the uncivilized.
Person2: So Americans will never improve then..",0
"Person1: There is no law that will civilize the uncivilized.
Person2: This law will work: God made everyone, Samuel Colt made them all equal.",0
"Person1: The Germans better realize real quick that you can't put a ""no means no"" law in sharia law.
Person2: Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",0
"Person1: There is no law that will civilize the uncivilized.
Person2: Yes there is, it's called capital punishment.",0
"Person1: The problem was never the law or lack of a law, it was the immigrants the politicians let into the country.
Person2: And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE! They knew what would happen with these uncivilized animals and what they would do and they did exactly that to the women -young girls- and even have raped men. They should never be allowed out of their sand boxes.",1
"Person1: That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one.
Person2: hot high speed lead is an international language",1
"Person1: hot high speed lead is an international language
Person2: They should allow the German women weapons to protect themselves.",0
"Person1: That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one.
Person2: Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.",0
"Person1: Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.
Person2: If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",0
"Person1: That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one.
Person2: Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.",0
"Person1: You can make all the laws you want. They won't control savages. You can dress an animal up like a man; it doesn't make it a man.
Person2: See NFL",0
"Person1: And this is the vaunted ""European Society"" America's liberals want us to emulate?
Person2: Feel the bern",0
"Person1: hot high speed lead is an international language
Person2: Bernie can feel himself, thank you.",0
"Person1: Bernie can feel himself, thank you.
Person2: doesn't remember where it is..",0
"Person1: ""On Thursday, a local court in Cologne handed down the first conviction for a sexual offense on New Year's Eve. A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" That is some aggressive sentencing there, I am absolutely certain that will deter such behavior from them in the future.
Person2: This would be a very reasonable sentence if it had one caveat, namely, boiling these subhuman scumbags in pig blood.",1
"Person1: hot high speed lead is an international language
Person2: ???",0
"Person1: ???
Person2: we need to dig him up",0
"Person1: Merkel let these slugs in for the sake of 'humanity' with zero vetting. How about protecting your own citizens for a change?
Person2: Merkel is a human failure in every sense.",0
"Person1: if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.
Person2: Too things I hate the most. Hoplophobes and Racists.",0
"Person1: Saying ""no"" does not stop rapists. Keeping droves of men with ""raping"" mentality out of the country and arming people for self defense will help curb the rapes.
Person2: ""Too?"". Better add grammar checkers to your list.",0
"Person1: Saying ""no"" does not stop rapists. Keeping droves of men with ""raping"" mentality out of the country and arming people for self defense will help curb the rapes.
Person2: what's a hoplophobe? someone that hates bunnies?",0
"Person1: if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.
Person2: I am all for gun control - use both hands, aim center mass, squeeze slowly.",0
"Person1: German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.
Person2: And he was given a one year, suspended sentence. Hardly a deterrent.",0
"Person1: And he was given a one year, suspended sentence. Hardly a deterrent.
Person2: Hard to punish a people that view women as their toys. Their religion allows this.",1
"Person1: Yes please.
Person2: It's not a religion. It's a cult of hate, death and destruction.",1
"Person1: It's not a religion. It's a cult of hate, death and destruction.
Person2: Agreed",1
"Person1: German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.
Person2: Why do they keep Merkel in office. The woman is a disaster for Germany. She knows nothing and does everything to hurt her country",0
"Person1: Why do they keep Merkel in office. The woman is a disaster for Germany. She knows nothing and does everything to hurt her country
Person2: She sounds like Hillary.",0
"Person1: She sounds like Hillary.
Person2: And Oblama",0
"Person1: Why do they keep Merkel in office. The woman is a disaster for Germany. She knows nothing and does everything to hurt her country
Person2: but barry loves her...",0
"Person1: Let me wrap my mind around this. A woman was raped by two men and a video shows her saying no and now she's on trial?? Yeah, we need European style justice here in America. And let me venture a guess. The opposition to the change that will allow deportation of these savages is the liberal wing of the equivalent to our own Democratic Party.
Person2: In this case, the liberal wing you're referring to is in Brussels.",0
"Person1: Let me wrap my mind around this. A woman was raped by two men and a video shows her saying no and now she's on trial?? Yeah, we need European style justice here in America. And let me venture a guess. The opposition to the change that will allow deportation of these savages is the liberal wing of the equivalent to our own Democratic Party.
Person2: And people wonder why England voted FOR Brexit?",0
"Person1: hasent no been on the books forever
Person2: But it has never been defined. /sarc",0
"Person1: But it has never been defined. /sarc
Person2: depends on what the meaning of ""is"" - 'is"".",0
"Person1: hasent no been on the books forever
Person2: Huh???",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Think for yourself for once.",0
"Person1: Think for yourself for once.
Person2: I always do there is no bigger lie than equal rights for all",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: You're becoming far too repetitive.",0
"Person1: Think for yourself for once.
Person2: you never do that Sharon?",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Honestly, who is Sharon? I don't get the joke.",0
"Person1: Think for yourself for once.
Person2: so far thats you",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: You think my name is Sharon? OK?",0
"Person1: Think for yourself for once.
Person2: glad you told us your name",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Seeing as that's not my name, nor did I ever say it was, I still have no idea what you're trying to say.",0
"Person1: Think for yourself for once.
Person2: you just now said it was",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Well no, I didn't. So again, what in the world are you saying?",0
"Person1: Think for yourself for once.
Person2: its nice to know your real name. its a pretty female name",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Ah, okay. You wish I was a woman. That's cr⁠e⁠epy, Wayne. Keep your fan⁠tas⁠ies to yourself.",0
"Person1: Think for yourself for once.
Person2: so you admit being a woman?",1
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: You've made it quite clear you're hoping I'm a woman. That's sa⁠d, Wayne. You need help.",0
"Person1: Think for yourself for once.
Person2: I came back to my post and saw ""16 replies"" and actually thought ""Wow, maybe my post generated some interesting conversation."" Then I clicked on it. OMG. Sharon was probably his third wife...and second daughter.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: Nah, he didn't come up with that one himself either.@cuss did and he's been parroting it. Like I said, he's not capable of an original thought.",0
"Person1: Think for yourself for once.
Person2: He's not capable of any thought, period!",0
"Person1: He's not capable of any thought, period!
Person2: none that is a vote for Hilary",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Republicans en masse are getting ready to turn their back on Trump the way they did on Bob Dole in '96 when it was clear he couldn't win against Bill Clinton.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: no the opposite your polls poll mostly Democrats who can't stand Hilary who matters because of that cigar",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: The polls are accurate Wayne. Pollsters compete with each other for contracts and as a result focus on accuracy. They have no problem predicting elections within the margin of error. A couple like Fox and Rasmussen have a Republican house effect of around 3 points. A couple like PPP have a Dem house effect of around 3. The polls say Trump isn't doing very well. Worse than they said McCain and Romney were doing at this same time. EVEN Fox's polls.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: why does that Neke Silver say that Trump will win by 57 percent?? they can easily find Democrats in Manhattans. but they don't like Hilary at all not many do",0
"Person1: If Trump ever endorses violence against liberals, I will comply with his wishes, gladly.
Person2: I think we all will come Nov 8",1
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: This is why you need help. You need to be in asylum before you hurt someone.",0
"Person1: Think for yourself for once.
Person2: you do since I thought you did not like HRC that is a lie obviously",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Hopefully the authorities come for you before election day.",0
"Person1: If Trump ever endorses violence against liberals, I will comply with his wishes, gladly.
Person2: The latest projections are the Orange Clown loses in a landslide.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: Here's hoping he brings as many Republicans down with him as possible.",0
"Person1: Think for yourself for once.
Person2: nope the Dems will dump Hilary like they dumped Carter in 80",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Source?",0
